Date,Actual,Predicted,Cash,Position,Equity
2025-06-25,0.7978960641688755,0.751364686383358,10000.0,0.0,10000.0
2025-06-26,0.7930623825146821,0.7626123487961938,10000.0,0.0,10000.0
2025-06-27,0.7941832362315966,0.7702421600876709,10000.0,0.0,10000.0
2025-06-28,0.7970787750002919,0.7735696157890424,10000.0,0.0,10000.0
2025-06-29,0.8091746546953265,0.7754785678353883,10000.0,0.0,10000.0
2025-06-30,0.7951056054361407,0.7790382936978857,10000.0,0.0,10000.0
2025-07-01,0.7779425328958891,0.7809452885317927,0.0,12854.419930962027,10000.0
2025-07-02,0.8150241100304734,0.7764879703232521,10476.662164190306,0.0,10476.662164190306
2025-07-03,0.8239325619680324,0.7792979372582043,10476.662164190306,0.0,10476.662164190306
2025-07-04,0.8050765332928582,0.7892247768095505,10476.662164190306,0.0,10476.662164190306
2025-07-05,0.8074933741199548,0.7906529547581579,10476.662164190306,0.0,10476.662164190306
2025-07-06,0.8190872047542879,0.7884536634450444,10476.662164190306,0.0,10476.662164190306
2025-07-07,0.8080421254188608,0.7902616499468443,10476.662164190306,0.0,10476.662164190306
2025-07-08,0.8157479947226471,0.7912150272389391,10476.662164190306,0.0,10476.662164190306
2025-07-09,0.8430688040724352,0.7911899042812572,10476.662164190306,0.0,10476.662164190306
2025-07-10,0.8984576585832877,0.7993776088574921,10476.662164190306,0.0,10476.662164190306
2025-07-11,0.9165314247685321,0.8206462508313742,10476.662164190306,0.0,10476.662164190306
2025-07-12,0.9151887354201451,0.8453731245033121,10476.662164190306,0.0,10476.662164190306
2025-07-13,0.9346985954301861,0.8599105383716207,10476.662164190306,0.0,10476.662164190306
2025-07-14,0.9433852117362727,0.8704555604599685,10476.662164190306,0.0,10476.662164190306
2025-07-15,0.9187497810832586,0.8851591922226502,10476.662164190306,0.0,10476.662164190306
2025-07-16,0.9298298870973392,0.8876158281589859,10476.662164190306,0.0,10476.662164190306
2025-07-17,0.9363331737673528,0.8925087216444739,10476.662164190306,0.0,10476.662164190306
2025-07-18,0.9217036976497099,0.8941779766837391,10476.662164190306,0.0,10476.662164190306
2025-07-19,0.9204660883372837,0.8937222567438637,10476.662164190306,0.0,10476.662164190306
2025-07-20,0.9137292904762462,0.8896039320614554,10476.662164190306,0.0,10476.662164190306
2025-07-21,0.914873495312263,0.8850295878916539,10476.662164190306,0.0,10476.662164190306
2025-07-22,0.9449263855970298,0.883219840291654,10476.662164190306,0.0,10476.662164190306
2025-07-23,0.9309390652547025,0.8864722275150098,10476.662164190306,0.0,10476.662164190306
2025-07-24,0.9254982545038473,0.8901279219510106,10476.662164190306,0.0,10476.662164190306
2025-07-25,0.9173954161753204,0.888871069026652,10476.662164190306,0.0,10476.662164190306
2025-07-26,0.9210031640766385,0.8855950905536826,10476.662164190306,0.0,10476.662164190306
2025-07-27,0.9385982323202842,0.8886113135062447,10476.662164190306,0.0,10476.662164190306
2025-07-28,0.9220422888766946,0.8892784699658828,10476.662164190306,0.0,10476.662164190306
2025-07-29,0.9205828439327957,0.8891746529228576,10476.662164190306,0.0,10476.662164190306
