Open,High,Low,Close,Volume,Date
42652.0,43196.0,42072.0,43120.0,1007.78173731,2024-01-01
43147.0,45922.0,43109.0,45170.0,4182.23676495,2024-01-02
45185.0,45510.0,41454.0,42265.0,4217.26202179,2024-01-03
42284.0,44357.0,42176.0,44094.0,2576.69849879,2024-01-04
44095.0,44795.0,42500.0,43626.0,3263.03057976,2024-01-05
43641.0,44366.0,43440.0,44031.0,1436.65894695,2024-01-06
44032.0,44500.0,43688.0,44138.0,1481.63032368,2024-01-07
44123.0,47021.0,43213.0,47007.0,3453.6248656,2024-01-08
47008.0,47281.0,45496.0,46657.0,2781.28547612,2024-01-09
46656.0,47897.0,44304.0,46549.0,3882.73607406,2024-01-10
46573.0,49048.0,44900.0,46592.0,5778.68454093,2024-01-11
46606.0,47014.0,43155.0,43424.0,4167.59949269,2024-01-12
43422.0,44011.0,41509.0,42794.0,2647.69340055,2024-01-13
42823.0,43060.0,42559.0,42882.0,742.0930644700001,2024-01-14
42886.0,43324.0,41680.0,42979.0,1918.1970632,2024-01-15
42948.0,43398.0,42056.0,43005.0,2108.59387026,2024-01-16
43016.0,43566.0,42172.0,42568.0,1774.87668222,2024-01-17
42568.0,42871.0,41325.0,41440.0,1998.35022831,2024-01-18
41447.0,41932.0,40258.0,41761.0,2809.97635965,2024-01-19
41766.0,42152.0,41428.0,41582.0,1017.02510929,2024-01-20
41585.0,41854.0,41519.0,41666.0,570.30598964,2024-01-21
41664.0,41778.0,40036.0,40262.0,2071.47574003,2024-01-22
40260.0,40496.0,38505.0,39079.0,3117.85667245,2024-01-23
39085.0,40515.0,38984.0,39754.0,2725.70383709,2024-01-24
39742.0,40278.0,39461.0,39822.0,2260.49094759,2024-01-25
39821.0,42194.0,39607.0,42117.0,3558.17298726,2024-01-26
42105.0,42233.0,41396.0,41797.0,1203.74162928,2024-01-27
41803.0,42824.0,41786.0,41967.0,1227.89939509,2024-01-28
41963.0,43295.0,41629.0,43022.0,2167.32647065,2024-01-29
43019.0,43853.0,42982.0,43372.0,1784.66664154,2024-01-30
43374.0,43799.0,42340.0,43500.0,2757.25952483,2024-01-31
43500.0,43544.0,41859.0,42838.0,2917.34464373,2024-02-01
42838.0,43451.0,42538.0,42901.0,2193.79885106,2024-02-02
42900.0,43352.0,42876.0,43058.0,802.16229679,2024-02-03
43051.0,43097.0,42716.0,42779.0,522.4991448,2024-02-04
42770.0,43515.0,42243.0,42678.0,2029.18868397,2024-02-05
42686.0,43366.0,42288.0,43176.0,1690.87403824,2024-02-06
43180.0,43674.0,42764.0,43625.0,1380.22050169,2024-02-07
43630.0,45522.0,43412.0,45283.0,3004.57519809,2024-02-08
45305.0,48201.0,45230.0,47630.0,3322.97075236,2024-02-09
47600.0,47729.0,46894.0,47353.0,1092.70138553,2024-02-10
47353.0,48601.0,47321.0,48295.0,1304.74195939,2024-02-11
48294.0,50333.0,47720.0,49745.0,2220.68525504,2024-02-12
49742.0,50385.0,48325.0,49126.0,2184.48786241,2024-02-13
49125.0,52093.0,48929.0,51475.0,2584.32816353,2024-02-14
51483.0,52884.0,51236.0,52003.0,2382.00873806,2024-02-15
51997.0,52600.0,51364.0,51993.0,2083.82982113,2024-02-16
51992.0,52251.0,50647.0,51278.0,1016.2482037899999,2024-02-17
51283.0,52063.0,51196.0,51805.0,820.30114826,2024-02-18
51814.0,52496.0,51612.0,51934.0,1227.93839539,2024-02-19
51932.0,53015.0,50770.0,51506.0,2122.25008294,2024-02-20
51516.0,52526.0,50611.0,50855.0,2182.23629419,2024-02-21
50838.0,52011.0,50658.0,51700.0,2025.10507561,2024-02-22
51699.0,52049.0,50610.0,51094.0,2126.54227661,2024-02-23
51094.0,51683.0,50519.0,51429.0,880.9666322100001,2024-02-24
51440.0,51870.0,51282.0,51566.0,495.53310930000004,2024-02-25
51571.0,53674.0,50909.0,53644.0,2089.56411651,2024-02-26
53635.0,57449.0,53478.0,57165.0,3684.96240535,2024-02-27
57160.0,64000.0,56613.0,61148.0,5909.90544346,2024-02-28
61130.0,63684.0,59801.0,60775.0,4403.586412,2024-02-29
60791.0,62699.0,60602.0,62362.0,2638.44306462,2024-03-01
62363.0,63265.0,61645.0,62074.0,1383.05186675,2024-03-02
62084.0,63030.0,61402.0,62843.0,1158.31007607,2024-03-03
62865.0,67621.0,62376.0,66673.0,3401.19651229,2024-03-04
